Date,FRP
01-11-2019,8.926
02-11-2019,13.048
03-11-2019,10.521
04-11-2019,13.899
05-11-2019,13.705
06-11-2019,16.026
07-11-2019,16.067
08-11-2019,19.914
09-11-2019,12.506
10-11-2019,12.806
11-11-2019,7.56
12-11-2019,13.556
13-11-2019,9.14
14-11-2019,8.611
15-11-2019,15.168
16-11-2019,11.831
17-11-2019,13.345
18-11-2019,8.413
19-11-2019,13.35
20-11-2019,11.244
21-11-2019,8.757
22-11-2019,10.08
23-11-2019,11.972
24-11-2019,12.899
25-11-2019,12.657
26-11-2019,13.916
27-11-2019,11.147
28-11-2019,11.9
29-11-2019,13.66
30-11-2019,13.197
01-12-2019,15.349
02-12-2019,7.823
03-12-2019,15.321
04-12-2019,10.775
05-12-2019,15.536
06-12-2019,12.983
07-12-2019,11.423
08-12-2019,12.044
09-12-2019,10.855
10-12-2019,13.686
11-12-2019,13.414
12-12-2019,12.229
13-12-2019,15.758
14-12-2019,12.566
15-12-2019,12.862
16-12-2019,16.392
17-12-2019,10.9
18-12-2019,9.553
19-12-2019,13.68
20-12-2019,12.17
21-12-2019,21.685
22-12-2019,13.657
23-12-2019,12.192
24-12-2019,13.471
25-12-2019,9.548
26-12-2019,12.016
27-12-2019,14.372
28-12-2019,13.743
29-12-2019,31.563
30-12-2019,25.842
31-12-2019,10.939
01-01-2020,13.981
02-01-2020,20.718
03-01-2020,19.524
04-01-2020,47.188
05-01-2020,13.295
06-01-2020,20.723
07-01-2020,19.518
08-01-2020,66.565
09-01-2020,12.863
10-01-2020,12.409
11-01-2020,12.615
12-01-2020,9.269
13-01-2020,9.599
14-01-2020,7.993
15-01-2020,7.515
16-01-2020,9.565
17-01-2020,7.202
18-01-2020,8.362
19-01-2020,10.109
20-01-2020,9.746
21-01-2020,20.104
22-01-2020,25.818
23-01-2020,14.851
24-01-2020,16.386
25-01-2020,9.631
26-01-2020,19.64
27-01-2020,13.702
28-01-2020,25.133
29-01-2020,15.859
30-01-2020,12.954
